source_id,source_name,unit,category
1,renewables_pct_primary_energy,%,share
2,renewables_pct_electricity,%,share
3,geo_biomass_other_twh,TWh,generation
4,solar_gen_twh,TWh,generation
5,wind_gen_twh,TWh,generation
6,hydro_gen_twh,TWh,generation
7,wind_elec_twh,TWh,generation
8,hydro_elec_twh,TWh,generation
9,solar_elec_twh,TWh,generation
10,other_renewables_twh,TWh,generation
11,hydro_pct_primary_energy,%,share
12,hydro_pct_electricity,%,share
13,wind_pct_primary_energy,%,share
14,wind_pct_electricity,%,share
15,wind_capacity_gw,GW,capacity
16,solar_pct_primary_energy,%,share
17,solar_pct_electricity,%,share
18,solar_capacity_gw,GW,capacity
19,biofuel_prod_twh,TWh,generation
20,geothermal_capacity_mw,MW,capacity
