time_id,year,decade,era
1,1998,1990,pre-2000
2,1990,1990,pre-2000
3,2004,2000,2000s
4,1981,1980,pre-2000
5,2010,2010,2010s
6,1967,1960,pre-2000
7,1987,1980,pre-2000
8,2001,2000,2000s
9,2007,2000,2000s
10,1978,1970,pre-2000
11,1984,1980,pre-2000
12,2021,2020,2020s
13,2013,2010,2010s
14,1970,1970,pre-2000
15,1996,1990,pre-2000
16,2002,2000,2000s
17,2008,2000,2000s
18,1979,1970,pre-2000
19,2022,2020,2020s
20,1973,1970,pre-2000
21,1965,1960,pre-2000
22,2016,2010,2010s
23,1985,1980,pre-2000
24,1999,1990,pre-2000
25,1993,1990,pre-2000
26,1982,1980,pre-2000
27,2005,2000,2000s
28,1976,1970,pre-2000
29,2019,2010,2010s
30,1988,1980,pre-2000
31,2000,2000,2000s
32,1994,1990,pre-2000
33,1977,1970,pre-2000
34,1971,1970,pre-2000
35,2014,2010,2010s
36,2020,2020,2020s
37,1997,1990,pre-2000
38,1991,1990,pre-2000
39,2003,2000,2000s
40,1980,1980,pre-2000
41,1974,1970,pre-2000
42,2011,2010,2010s
43,1968,1960,pre-2000
44,2017,2010,2010s
45,1969,1960,pre-2000
46,1986,1980,pre-2000
47,1992,1990,pre-2000
48,1983,1980,pre-2000
49,2006,2000,2000s
50,1975,1970,pre-2000
51,2012,2010,2010s
52,2018,2010,2010s
53,1989,1980,pre-2000
54,1995,1990,pre-2000
55,2009,2000,2000s
56,1966,1960,pre-2000
57,1972,1970,pre-2000
58,2015,2010,2010s
